agent,game,seed,score,max_tile,moves,corner_occupancy,snake_score
DQN_compare,9,10008,1748,128,177,66.66666666666667,0.8032605320243628
DQN_compare,10,10009,1116,128,121,100.0,0.8195866154773626
DQN_compare,11,10010,852,64,109,100.0,0.8393621201385632
DQN_compare,12,10011,1404,128,145,92.41379310344827,0.8121950290963095
DQN_compare,13,10012,696,64,92,8.695652173913043,0.7683197425408007
DQN_compare,14,10013,784,64,104,100.0,0.8217679549120842
DQN_compare,15,10014,832,64,104,100.0,0.8045508393730759
DQN_compare,16,10015,1648,128,168,6.5476190476190474,0.7821492644111814
DQN_compare,17,10016,352,32,59,100.0,0.8116192572092129
DQN_compare,18,10017,1044,128,112,100.0,0.8299436227899658
DQN_compare,19,10018,1024,64,124,99.19354838709677,0.8315518110057584
DQN_compare,20,10019,1048,64,126,23.80952380952381,0.7573529881527606
DQN_compare,21,10020,3216,256,268,100.0,0.8457582068853219
DQN_compare,22,10021,2384,256,198,100.0,0.8383714305504529
DQN_compare,23,10022,1568,128,164,100.0,0.8178618967530733
DQN_compare,24,10023,1516,128,158,100.0,0.8404735583217546
DQN_compare,25,10024,1228,64,139,94.96402877697842,0.8065039146997145
DQN_compare,26,10025,1780,128,184,75.54347826086956,0.8106654976908614
DQN_compare,27,10026,2092,128,196,98.46938775510205,0.8230107723573399
DQN_compare,28,10027,440,32,71,92.95774647887323,0.831862494022079
DQN_compare,29,10028,900,64,107,64.48598130841121,0.8049474227917789
DQN_compare,30,10029,1896,128,193,96.89119170984456,0.8590245621303032
DQN_compare,31,10030,1276,128,130,100.0,0.8263926553757861
DQN_compare,32,10031,660,64,87,96.55172413793103,0.8267132871566288
DQN_compare,33,10032,1636,128,165,100.0,0.855057332623711
DQN_compare,34,10033,692,64,92,77.17391304347827,0.7736910043697517
DQN_compare,35,10034,1612,128,164,96.95121951219512,0.8433695338180592
DQN_compare,36,10035,2516,128,236,83.05084745762711,0.8354563487697969
DQN_compare,37,10036,2116,128,205,95.60975609756098,0.8353020570249242
DQN_compare,38,10037,1164,128,125,34.4,0.800346400892058
DQN_compare,39,10038,1340,128,140,97.14285714285714,0.8289464464889512
DQN_compare,40,10039,1476,128,153,98.69281045751634,0.7756095635078535
DQN_compare,41,10040,1780,128,180,99.44444444444444,0.8517585270023074
DQN_compare,42,10041,1012,64,121,80.99173553719008,0.8273427433654298
DQN_compare,43,10042,880,64,106,98.11320754716981,0.8034327488568159
DQN_compare,44,10043,2004,128,184,100.0,0.8478981545178392
DQN_compare,45,10044,1948,128,190,98.94736842105263,0.82003754464942
DQN_compare,46,10045,2328,256,191,24.083769633507853,0.7488879063746482
DQN_compare,47,10046,1420,128,150,99.33333333333333,0.8414704945304653
DQN_compare,48,10047,780,64,97,71.1340206185567,0.8158793099036709
DQN_compare,49,10048,1340,128,140,24.285714285714285,0.7468186437736516
DQN_compare,50,10049,2524,256,209,9.090909090909092,0.766346640106381
DQN_compare,51,10050,788,64,102,99.01960784313725,0.8408013749431728
DQN_compare,52,10051,1592,128,165,100.0,0.8162829113211802
DQN_compare,53,10052,596,64,83,92.7710843373494,0.8387630090860854
DQN_compare,54,10053,2244,256,187,90.9090909090909,0.8440552005466396
DQN_compare,55,10054,1828,128,171,99.41520467836257,0.8149638347420332
DQN_compare,56,10055,1312,128,131,70.22900763358778,0.7705101405511277
DQN_compare,57,10056,1024,64,124,98.38709677419355,0.8217943818367793
